trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1743,False,"{'a': 0.17499462846769887, 'e': 0.17499462846769887}",35,24,22.80155961431377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1744,False,"{'a': 0.17481972130738693, 'e': 0.17481972130738693}",25,10,14.249471948157748,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1745,False,"{'a': 0.17464498896681085, 'e': 0.17464498896681085}",25,13,19.20889901558543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1746,False,"{'a': 0.17447043127123832, 'e': 0.17447043127123832}",25,15,10.948577680416626,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1747,False,"{'a': 0.17429604804611157, 'e': 0.17429604804611157}",20,2,-16.323623095297144,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
1748,False,"{'a': 0.1741218391170474, 'e': 0.1741218391170474}",20,4,-9.96523665143426,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
1749,False,"{'a': 0.17394780430983683, 'e': 0.17394780430983683}",25,10,26.090811061673293,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1750,False,"{'a': 0.17377394345044514, 'e': 0.17377394345044514}",25,17,13.49354433495177,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1751,False,"{'a': 0.1736002563650113, 'e': 0.1736002563650113}",20,8,-0.719161186028314,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1752,False,"{'a': 0.17342674287984836, 'e': 0.17342674287984836}",25,0,14.844471224198085,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1753,False,"{'a': 0.1732534028214427, 'e': 0.1732534028214427}",20,0,20.745167307926376,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1754,False,"{'a': 0.17308023601645434, 'e': 0.17308023601645434}",25,8,25.821890568214773,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1755,False,"{'a': 0.17290724229171636, 'e': 0.17290724229171636}",30,13,8.174128533896077,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1756,False,"{'a': 0.17273442147423515, 'e': 0.17273442147423515}",20,9,22.44033717735887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1757,False,"{'a': 0.17256177339118975, 'e': 0.17256177339118975}",25,13,10.006343442109554,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1758,False,"{'a': 0.17238929786993218, 'e': 0.17238929786993218}",20,12,20.32207754233269,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1759,False,"{'a': 0.1722169947379868, 'e': 0.1722169947379868}",25,13,20.920501940388917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1760,False,"{'a': 0.17204486382305054, 'e': 0.17204486382305054}",20,5,24.83254815364371,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1761,False,"{'a': 0.1718729049529924, 'e': 0.1718729049529924}",25,7,29.041638481926185,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1762,False,"{'a': 0.17170111795585358, 'e': 0.17170111795585358}",25,7,15.104104575412098,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1763,False,"{'a': 0.17152950265984698, 'e': 0.17152950265984698}",25,14,19.04750656304578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1764,False,"{'a': 0.17135805889335737, 'e': 0.17135805889335737}",20,8,-20.5235231964273,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
1765,False,"{'a': 0.1711867864849409, 'e': 0.1711867864849409}",25,9,28.562937054372327,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1766,False,"{'a': 0.17101568526332522, 'e': 0.17101568526332522}",20,15,9.004472110133285,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
